currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
715,0.00,0.00,0,0,0,0,0
723,-5.18,0.00,0,0,0,0,0
727,-5.06,-0.41,0,0,0,0,0
731,-5.12,-0.52,0,0,0,0,0
735,-4.82,-0.63,0,0,0,0,0
739,-4.88,-0.72,0,0,0,0,0
744,-5.37,-0.85,0,0,0,0,0
748,-5.30,-0.98,0,0,0,0,0
752,-5.00,-1.06,0,0,0,0,0
756,-4.88,-1.12,0,0,0,0,0
760,-4.57,-1.17,0,0,0,0,0
765,-5.00,-1.21,0,0,0,0,0
769,-5.43,-1.28,0,0,0,0,0
773,-5.67,-1.32,0,0,0,0,0
777,-5.73,-1.36,0,0,0,0,0
781,-4.21,-1.40,0,0,0,0,0
786,-4.15,-1.41,0,0,0,0,0
790,-4.15,-1.41,0,0,0,0,0
798,-4.09,-1.40,0,0,0,0,0
802,-3.90,-1.37,0,0,0,0,0
806,-3.72,-1.35,0,0,0,0,0
811,-4.09,-1.33,0,0,0,0,0
815,-4.39,-1.31,0,0,0,0,0
819,-5.06,-1.29,0,0,0,0,0
823,-5.12,-1.28,0,0,0,0,0
827,-5.49,-1.28,0,0,0,0,0
832,-5.30,-1.28,0,0,0,0,0
836,-5.00,-1.27,0,0,0,0,0
840,-4.51,-1.26,0,0,0,0,0
844,-4.51,-1.25,0,0,0,0,0
848,-4.21,-1.23,0,0,0,0,0
853,-4.27,-1.21,0,0,0,0,0
857,-3.78,-1.19,0,0,0,0,0
861,-4.15,-1.17,0,0,0,0,0
865,-4.15,-1.17,0,0,0,0,0
870,-4.39,-1.16,0,0,0,0,0
874,-4.51,-1.16,0,0,0,0,0
882,-4.57,-1.16,0,0,0,0,0
886,-4.33,-1.21,0,0,0,0,0
890,-4.45,-1.22,0,0,0,0,0
895,-4.27,-1.25,0,0,0,0,0
899,-3.90,-1.28,0,0,0,0,0
903,-3.90,-1.30,0,0,0,0,0
907,-3.66,-1.32,0,0,0,0,0
911,-3.54,-1.34,0,0,0,0,0
916,-3.66,-1.36,0,0,0,0,0
920,-3.60,-1.40,0,0,0,0,0
924,-4.09,-1.43,0,0,0,0,0
928,-4.21,-1.47,0,0,0,0,0
932,-4.45,-1.51,0,0,0,0,0
937,-4.51,-1.57,0,0,0,0,0
941,-4.27,-1.65,0,0,0,0,0
945,-4.09,-1.71,0,0,0,0,0
949,-3.90,-1.76,0,0,0,0,0
954,-3.90,-1.80,0,0,0,0,0
958,-3.48,-1.87,0,0,0,0,0
966,-3.48,-1.92,0,0,0,0,0
970,-3.60,-2.03,0,0,0,0,0
974,-3.66,-2.06,0,0,0,0,0
979,-3.41,-2.10,0,0,0,0,0
983,-3.84,-2.14,0,0,0,0,0
987,-3.72,-2.20,0,0,0,0,0
991,-3.66,-2.24,0,0,0,0,0
995,-3.84,-2.27,0,0,0,0,0
1000,-3.96,-2.30,0,0,0,0,0
1004,-3.96,-2.36,0,0,0,0,0
1008,-3.84,-2.39,0,0,0,0,0
1012,-3.60,-2.42,0,0,0,0,0
1016,-3.66,-2.44,0,0,0,0,0
1021,-3.48,-2.47,0,0,0,0,0
1025,-3.41,-2.49,0,0,0,0,0
1029,-3.48,-2.50,0,0,0,0,0
1033,-3.23,-2.51,0,0,0,0,0
1038,-3.96,-2.52,0,0,0,0,0
1046,-4.15,-2.55,0,0,0,0,0
1050,-4.33,-2.64,0,0,0,0,0
1054,-3.96,-2.66,0,0,0,0,0
1058,-3.78,-2.68,0,0,0,0,0
1063,-3.60,-2.69,0,0,0,0,0
1067,-3.48,-2.70,0,0,0,0,0
1071,-3.29,-2.71,0,0,0,0,0
1075,-3.60,-2.70,0,0,0,0,0
1079,-3.23,-2.71,0,0,0,0,0
1084,-3.48,-2.71,0,0,0,0,0
1088,-3.48,-2.71,0,0,0,0,0
1092,-3.17,-2.72,0,0,0,0,0
1096,-3.72,-2.71,0,0,0,0,0
1100,-3.54,-2.72,0,0,0,0,0
1105,-3.29,-2.73,0,0,0,0,0
1109,-3.11,-2.73,0,0,0,0,0
1113,-3.11,-2.72,0,0,0,0,0
1117,-3.11,-2.72,0,0,0,0,0
1125,-2.93,-2.72,0,0,0,0,0
1130,-2.68,-2.69,0,0,0,0,0
1134,-3.11,-2.67,0,0,0,0,0
1138,-3.05,-2.67,0,0,0,0,0
1142,-3.48,-2.67,0,0,0,0,0
1147,-3.35,-2.68,0,0,0,0,0
1151,-3.17,-2.69,0,0,0,0,0
1155,-3.17,-2.69,0,0,0,0,0
1159,-3.11,-2.70,0,0,0,0,0
1163,-2.74,-2.70,0,0,0,0,0
1168,-2.93,-2.69,0,0,0,0,0
1172,-2.93,-2.68,0,0,0,0,0
1176,-2.87,-2.68,0,0,0,0,0
1180,-2.62,-2.67,0,0,0,0,0
1184,-2.44,-2.66,0,0,0,0,0
1189,-2.62,-2.65,0,0,0,0,0
1193,-2.56,-2.63,0,0,0,0,0
1197,-2.32,-2.62,0,0,0,0,0
1201,-2.26,-2.60,0,0,0,0,0
1209,-2.26,-2.59,0,0,0,0,0
1214,-1.95,-2.54,0,0,0,0,0
1218,-1.83,-2.50,0,0,0,0,0
1222,-1.95,-2.48,0,0,0,0,0
1226,-1.65,-2.46,0,0,0,0,0
1231,-1.65,-2.43,0,0,0,0,0
1235,-1.77,-2.40,0,0,0,0,0
1239,-1.40,-2.37,0,0,0,0,0
1243,-1.40,-2.34,0,0,0,0,0
1247,-1.34,-2.31,0,0,0,0,0
1252,-1.34,-2.29,0,0,0,0,0
1256,-1.34,-2.25,0,0,0,0,0
1260,-1.10,-2.23,0,0,0,0,0
1264,-0.91,-2.20,0,0,0,0,0
1268,-1.10,-2.17,0,0,0,0,0
1273,-1.34,-2.15,0,0,0,0,0
1277,-1.16,-2.12,0,0,0,0,0
1281,-1.04,-2.09,0,0,0,0,0
1289,-0.61,-2.07,0,0,0,0,0
1293,-0.37,-1.97,0,0,0,0,0
1298,-0.06,-1.93,0,0,0,0,0
1302,-0.06,-1.86,0,0,0,0,0
1306,-0.06,-1.81,0,0,0,0,0
1310,0.06,-1.76,0,0,0,0,0
1314,0.24,-1.71,0,0,0,0,0
1319,0.30,-1.66,0,0,0,0,0
1323,0.00,-1.57,0,0,0,0,0
1327,0.43,-1.52,0,0,0,0,0
1331,0.30,-1.46,0,0,0,0,0
1335,0.00,-1.41,0,0,0,0,0
1339,0.18,-1.36,0,0,0,0,0
1344,0.18,-1.31,0,0,0,0,0
1348,0.55,-1.23,0,0,0,0,0
1352,0.12,-1.14,0,0,0,0,0
1356,0.49,-1.10,0,0,0,0,0
1360,0.49,-1.04,0,0,0,0,0
1364,0.61,-0.98,0,0,0,0,0
1372,0.18,-0.93,0,0,0,0,0
1376,0.30,-0.81,0,0,0,0,0
1381,0.37,-0.77,0,0,0,0,0
1385,0.37,-0.71,0,0,0,0,0
1389,0.37,-0.68,0,0,0,0,0
1393,0.43,-0.65,0,0,0,0,0
1397,0.43,-0.62,0,0,0,0,0
1401,0.55,-0.59,0,0,0,0,0
1405,0.55,-0.56,0,0,0,0,0
1410,0.79,-0.53,0,0,0,0,0
1414,1.04,-0.48,0,0,0,0,0
1418,1.16,-0.45,0,0,0,0,0
1422,1.16,-0.41,0,0,0,0,0
1426,1.34,-0.38,0,0,0,0,0
1430,1.28,-0.34,0,0,0,0,0
1435,1.34,-0.31,0,0,0,0,0
1439,1.22,-0.28,0,0,0,0,0
1443,1.34,-0.26,0,0,0,0,0
1447,1.04,-0.25,0,0,0,0,0
1455,1.04,-0.25,0,0,0,0,0
1459,0.61,-0.26,0,0,0,0,0
1463,1.34,-0.29,0,0,0,0,0
1467,1.40,-0.29,0,0,0,0,0
1472,1.40,-0.30,0,0,0,0,0
1476,1.46,-0.32,0,0,0,0,0
1480,1.77,-0.34,0,0,0,0,0
1484,1.59,-0.35,0,0,0,0,0
1488,1.40,-0.37,0,0,0,0,0
1492,1.34,-0.40,0,0,0,0,0
1497,1.22,-0.43,0,0,0,0,0
1501,1.71,-0.48,0,0,0,0,0
1505,1.34,-0.51,0,0,0,0,0
1509,1.52,-0.55,0,0,0,0,0
1513,1.77,-0.59,0,0,0,0,0
1517,1.89,-0.63,0,0,0,0,0
1522,2.07,-0.66,0,0,0,0,0
1526,2.01,-0.71,0,0,0,0,0
1530,1.95,-0.77,0,0,0,0,0
1538,1.65,-0.81,0,0,0,0,0
1542,2.01,-0.93,0,0,0,0,0
1546,1.89,-0.97,0,0,0,0,0
1550,2.07,-1.00,0,0,0,0,0
1555,2.13,-1.03,0,0,0,0,0
1559,2.32,-1.07,0,0,0,0,0
1563,2.20,-1.09,0,0,0,0,0
1567,2.13,-1.11,0,0,0,0,0
1571,2.26,-1.13,0,0,0,0,0
1575,2.32,-1.14,0,0,0,0,0
1580,2.20,-1.14,0,0,0,0,0
1584,2.93,-1.15,0,0,0,0,0
1588,2.38,-1.12,0,0,0,0,0
1592,2.38,-1.11,0,0,0,0,0
1596,2.32,-1.09,0,0,0,0,0
1600,2.32,-1.07,0,0,0,0,0
1605,2.26,-1.04,0,0,0,0,0
1609,2.13,-1.00,0,0,0,0,0
1613,2.01,-0.95,0,0,0,0,0
1621,2.44,-0.92,0,0,0,0,0
1625,2.38,-0.77,0,0,0,0,0
1629,2.44,-0.71,0,0,0,0,0
1633,2.20,-0.66,0,0,0,0,0
1638,2.07,-0.61,0,0,0,0,0
1642,1.95,-0.54,0,0,0,0,0
1646,2.13,-0.50,0,0,0,0,0
1650,2.20,-0.45,0,0,0,0,0
1654,2.01,-0.41,0,0,0,0,0
1658,2.20,-0.36,0,0,0,0,0
1662,2.07,-0.32,0,0,0,0,0
1667,2.01,-0.28,0,0,0,0,0
1671,2.01,-0.23,0,0,0,0,0
1675,1.95,-0.19,0,0,0,0,0
1679,2.13,-0.16,0,0,0,0,0
