currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
839,0.00,0.00,0,0,0,0,0
846,-189.94,0.00,0,0,0,0,0
850,-187.07,-11.57,0,0,0,0,0
855,-184.57,-16.87,0,0,0,0,0
859,-179.57,-19.88,0,0,0,0,0
864,-175.61,-20.22,0,0,0,0,0
868,-170.67,-20.06,0,0,0,0,0
873,-165.37,-20.83,0,0,0,0,0
877,-164.51,-24.94,0,0,0,0,0
882,-161.40,-29.27,0,0,0,0,0
886,-152.93,-36.58,0,0,0,0,0
890,-147.26,-43.44,0,0,0,0,0
895,-146.40,-47.55,0,0,0,0,0
899,-145.24,-53.42,0,0,0,0,0
904,-140.67,-57.05,0,0,0,0,0
908,-136.34,-61.96,0,0,0,0,0
917,-126.89,-64.85,0,0,0,0,0
921,-122.80,-73.06,0,0,0,0,0
926,-119.02,-74.89,0,0,0,0,0
930,-115.24,-77.26,0,0,0,0,0
935,-111.28,-78.58,0,0,0,0,0
939,-107.93,-80.18,0,0,0,0,0
944,-103.72,-81.02,0,0,0,0,0
948,-99.09,-81.91,0,0,0,0,0
953,-95.67,-82.24,0,0,0,0,0
957,-91.40,-82.44,0,0,0,0,0
961,-86.83,-82.27,0,0,0,0,0
966,-81.95,-81.92,0,0,0,0,0
970,-77.20,-80.98,0,0,0,0,0
974,-71.83,-80.12,0,0,0,0,0
979,-66.40,-78.97,0,0,0,0,0
983,-61.16,-76.80,0,0,0,0,0
988,-55.43,-75.09,0,0,0,0,0
996,-46.34,-72.05,0,0,0,0,0
1000,-42.07,-64.36,0,0,0,0,0
1005,-42.56,-61.74,0,0,0,0,0
1009,-33.41,-58.00,0,0,0,0,0
1014,-27.93,-55.00,0,0,0,0,0
1018,-23.96,-50.06,0,0,0,0,0
1022,-12.74,-45.05,0,0,0,0,0
1027,-7.44,-41.09,0,0,0,0,0
1031,-0.06,-34.85,0,0,0,0,0
1035,5.61,-30.53,0,0,0,0,0
1039,9.88,-26.06,0,0,0,0,0
1044,14.57,-21.62,0,0,0,0,0
1048,21.16,-14.96,0,0,0,0,0
1052,13.90,-10.61,0,0,0,0,0
1057,-5.61,-7.40,0,0,0,0,0
1061,-3.90,-5.77,0,0,0,0,0
1065,17.20,-4.73,0,0,0,0,0
1069,9.94,-2.00,0,0,0,0,0
1078,22.44,-0.22,0,0,0,0,0
1082,15.18,7.42,0,0,0,0,0
1086,3.54,9.10,0,0,0,0,0
1090,-6.71,9.08,0,0,0,0,0
1094,1.59,8.20,0,0,0,0,0
1098,-6.34,7.98,0,0,0,0,0
1102,-14.57,7.09,0,0,0,0,0
1107,-26.40,5.56,0,0,0,0,0
1111,-14.70,1.91,0,0,0,0,0
1115,-13.54,-0.07,0,0,0,0,0
1119,-7.07,-1.21,0,0,0,0,0
1123,0.43,-1.75,0,0,0,0,0
1128,7.44,-1.66,0,0,0,0,0
1132,15.55,-0.69,0,0,0,0,0
1136,25.67,0.52,0,0,0,0,0
1140,34.63,2.45,0,0,0,0,0
1144,35.67,4.91,0,0,0,0,0
1148,30.79,7.16,0,0,0,0,0
1153,20.00,8.75,0,0,0,0,0
1161,19.21,9.52,0,0,0,0,0
1165,-11.46,10.40,0,0,0,0,0
1169,-7.44,8.16,0,0,0,0,0
1173,-2.62,6.34,0,0,0,0,0
1177,2.32,5.01,0,0,0,0,0
1181,14.63,4.16,0,0,0,0,0
1186,15.79,4.45,0,0,0,0,0
1190,19.94,4.77,0,0,0,0,0
1194,24.33,5.24,0,0,0,0,0
1198,28.84,5.99,0,0,0,0,0
1202,33.41,6.97,0,0,0,0,0
1206,37.44,8.17,0,0,0,0,0
1211,41.10,9.52,0,0,0,0,0
1215,43.23,11.67,0,0,0,0,0
1219,37.38,13.67,0,0,0,0,0
1223,19.76,14.38,0,0,0,0,0
1227,52.50,13.81,0,0,0,0,0
1232,49.63,15.48,0,0,0,0,0
1236,51.04,17.42,0,0,0,0,0
1244,49.45,18.63,0,0,0,0,0
1248,48.48,21.52,0,0,0,0,0
1253,45.37,22.18,0,0,0,0,0
1257,41.34,22.77,0,0,0,0,0
1261,37.68,22.86,0,0,0,0,0
1265,34.51,22.69,0,0,0,0,0
1270,30.30,22.31,0,0,0,0,0
1274,29.76,21.34,0,0,0,0,0
