currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
675,0.00,0.00,0,0,0,0,0
682,-1.22,0.00,0,0,0,0,0
686,-1.52,-0.09,0,0,0,0,0
691,-0.98,-0.16,0,0,0,0,0
695,-1.83,-0.20,0,0,0,0,0
699,-1.59,-0.25,0,0,0,0,0
703,-1.71,-0.30,0,0,0,0,0
707,-2.20,-0.34,0,0,0,0,0
712,-1.46,-0.40,0,0,0,0,0
716,-1.34,-0.45,0,0,0,0,0
720,-0.79,-0.48,0,0,0,0,0
724,-1.22,-0.48,0,0,0,0,0
728,-0.98,-0.50,0,0,0,0,0
733,-1.22,-0.51,0,0,0,0,0
737,-1.16,-0.54,0,0,0,0,0
741,-1.71,-0.55,0,0,0,0,0
745,-1.46,-0.58,0,0,0,0,0
749,-1.71,-0.60,0,0,0,0,0
758,-1.22,-0.63,0,0,0,0,0
762,-0.85,-0.64,0,0,0,0,0
766,-0.49,-0.64,0,0,0,0,0
770,-0.98,-0.62,0,0,0,0,0
774,-0.73,-0.62,0,0,0,0,0
779,-0.24,-0.61,0,0,0,0,0
783,-0.37,-0.58,0,0,0,0,0
787,-0.37,-0.56,0,0,0,0,0
791,-0.18,-0.54,0,0,0,0,0
795,0.06,-0.52,0,0,0,0,0
800,0.12,-0.49,0,0,0,0,0
804,-0.37,-0.45,0,0,0,0,0
808,-0.30,-0.43,0,0,0,0,0
812,-0.43,-0.42,0,0,0,0,0
816,-0.24,-0.40,0,0,0,0,0
821,0.06,-0.38,0,0,0,0,0
825,0.12,-0.35,0,0,0,0,0
829,-0.06,-0.32,0,0,0,0,0
833,-0.06,-0.30,0,0,0,0,0
841,0.73,-0.28,0,0,0,0,0
845,0.43,-0.19,0,0,0,0,0
850,0.37,-0.17,0,0,0,0,0
854,0.18,-0.13,0,0,0,0,0
858,0.55,-0.11,0,0,0,0,0
862,0.43,-0.09,0,0,0,0,0
866,0.43,-0.06,0,0,0,0,0
870,0.18,-0.04,0,0,0,0,0
875,0.37,-0.02,0,0,0,0,0
879,0.37,0.01,0,0,0,0,0
883,0.30,0.05,0,0,0,0,0
887,0.18,0.07,0,0,0,0,0
891,0.55,0.09,0,0,0,0,0
895,0.55,0.11,0,0,0,0,0
899,0.91,0.13,0,0,0,0,0
903,0.49,0.16,0,0,0,0,0
907,1.16,0.18,0,0,0,0,0
911,1.10,0.22,0,0,0,0,0
915,1.22,0.25,0,0,0,0,0
919,1.71,0.29,0,0,0,0,0
927,1.59,0.33,0,0,0,0,0
931,1.52,0.47,0,0,0,0,0
935,1.28,0.51,0,0,0,0,0
940,1.65,0.54,0,0,0,0,0
944,1.65,0.61,0,0,0,0,0
948,1.46,0.67,0,0,0,0,0
952,1.52,0.70,0,0,0,0,0
956,1.04,0.74,0,0,0,0,0
960,1.04,0.76,0,0,0,0,0
964,0.91,0.78,0,0,0,0,0
968,1.04,0.79,0,0,0,0,0
972,1.22,0.80,0,0,0,0,0
976,1.10,0.82,0,0,0,0,0
980,1.59,0.83,0,0,0,0,0
984,1.65,0.86,0,0,0,0,0
988,1.10,0.89,0,0,0,0,0
992,1.22,0.89,0,0,0,0,0
996,0.91,0.90,0,0,0,0,0
1000,0.85,0.90,0,0,0,0,0
1005,1.22,0.90,0,0,0,0,0
1013,0.79,0.91,0,0,0,0,0
1017,0.37,0.87,0,0,0,0,0
1021,0.91,0.85,0,0,0,0,0
1025,1.40,0.84,0,0,0,0,0
1029,0.49,0.85,0,0,0,0,0
1033,0.49,0.82,0,0,0,0,0
1037,0.49,0.80,0,0,0,0,0
1041,0.12,0.78,0,0,0,0,0
1045,0.12,0.74,0,0,0,0,0
1049,0.24,0.71,0,0,0,0,0
1053,-0.18,0.68,0,0,0,0,0
1057,-0.06,0.64,0,0,0,0,0
1061,0.12,0.60,0,0,0,0,0
1065,0.37,0.57,0,0,0,0,0
1070,0.37,0.54,0,0,0,0,0
1074,-0.24,0.51,0,0,0,0,0
1078,-0.55,0.45,0,0,0,0,0
1082,-0.67,0.40,0,0,0,0,0
1086,-0.91,0.35,0,0,0,0,0
1090,-0.85,0.30,0,0,0,0,0
1098,-0.49,0.25,0,0,0,0,0
1102,-0.91,0.13,0,0,0,0,0
1106,-1.16,0.08,0,0,0,0,0
1111,-0.98,0.02,0,0,0,0,0
1115,-0.98,-0.05,0,0,0,0,0
1119,-0.85,-0.12,0,0,0,0,0
1123,-0.79,-0.16,0,0,0,0,0
1127,-0.30,-0.19,0,0,0,0,0
1131,-0.43,-0.22,0,0,0,0,0
1136,-0.79,-0.24,0,0,0,0,0
1140,-0.85,-0.29,0,0,0,0,0
1144,-0.85,-0.33,0,0,0,0,0
1148,-0.61,-0.36,0,0,0,0,0
1153,-1.34,-0.38,0,0,0,0,0
1157,-1.52,-0.45,0,0,0,0,0
1161,-1.10,-0.52,0,0,0,0,0
1165,-1.34,-0.55,0,0,0,0,0
1169,-0.79,-0.59,0,0,0,0,0
1178,-0.06,-0.61,0,0,0,0,0
1182,-0.24,-0.59,0,0,0,0,0
1186,-0.37,-0.59,0,0,0,0,0
1190,-0.24,-0.59,0,0,0,0,0
1194,-0.37,-0.58,0,0,0,0,0
1199,-0.12,-0.58,0,0,0,0,0
1203,-0.12,-0.57,0,0,0,0,0
1207,0.06,-0.56,0,0,0,0,0
1211,0.06,-0.54,0,0,0,0,0
1215,0.24,-0.52,0,0,0,0,0
1220,0.18,-0.50,0,0,0,0,0
1224,0.55,-0.47,0,0,0,0,0
1228,0.37,-0.42,0,0,0,0,0
1232,0.37,-0.39,0,0,0,0,0
1236,0.18,-0.36,0,0,0,0,0
