currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
695,0.00,0.00,0,0,0,0,0
703,2.62,0.00,0,0,0,0,0
707,2.44,0.24,0,0,0,0,0
711,2.87,0.31,0,0,0,0,0
715,3.05,0.38,0,0,0,0,0
719,2.93,0.46,0,0,0,0,0
723,3.23,0.53,0,0,0,0,0
727,3.84,0.60,0,0,0,0,0
731,3.54,0.68,0,0,0,0,0
735,3.60,0.75,0,0,0,0,0
739,3.96,0.82,0,0,0,0,0
743,4.02,0.89,0,0,0,0,0
747,4.33,0.95,0,0,0,0,0
751,4.57,1.01,0,0,0,0,0
755,4.82,1.07,0,0,0,0,0
759,5.06,1.13,0,0,0,0,0
763,4.70,1.19,0,0,0,0,0
767,4.82,1.23,0,0,0,0,0
772,5.00,1.27,0,0,0,0,0
780,4.94,1.31,0,0,0,0,0
784,5.06,1.34,0,0,0,0,0
788,4.94,1.34,0,0,0,0,0
792,5.30,1.33,0,0,0,0,0
796,5.24,1.32,0,0,0,0,0
800,4.94,1.30,0,0,0,0,0
804,4.76,1.28,0,0,0,0,0
808,4.82,1.25,0,0,0,0,0
812,4.82,1.22,0,0,0,0,0
816,4.21,1.19,0,0,0,0,0
820,-39.70,1.15,0,0,0,0,0
824,-9.76,0.79,0,0,0,0,0
829,-10.37,0.66,0,0,0,0,0
833,-15.91,0.46,0,0,0,0,0
837,-8.35,0.28,0,0,0,0,0
841,2.50,0.17,0,0,0,0,0
845,5.49,0.13,0,0,0,0,0
849,-1.95,0.12,0,0,0,0,0
853,-0.73,0.05,0,0,0,0,0
857,-6.28,-0.01,0,0,0,0,0
866,-2.07,-0.12,0,0,0,0,0
870,1.95,-0.37,0,0,0,0,0
874,4.57,-0.40,0,0,0,0,0
878,7.32,-0.40,0,0,0,0,0
882,13.35,-0.35,0,0,0,0,0
887,14.70,-0.21,0,0,0,0,0
891,11.95,0.10,0,0,0,0,0
895,5.43,0.40,0,0,0,0,0
899,4.51,0.49,0,0,0,0,0
903,5.61,0.57,0,0,0,0,0
907,6.83,0.67,0,0,0,0,0
911,7.32,0.82,0,0,0,0,0
915,7.99,0.98,0,0,0,0,0
919,9.76,1.17,0,0,0,0,0
923,9.63,1.42,0,0,0,0,0
927,10.43,1.66,0,0,0,0,0
932,11.40,1.94,0,0,0,0,0
936,11.83,2.41,0,0,0,0,0
940,14.51,2.73,0,0,0,0,0
944,13.05,3.14,0,0,0,0,0
952,9.39,3.50,0,0,0,0,0
956,8.78,4.16,0,0,0,0,0
960,7.26,4.33,0,0,0,0,0
964,7.01,4.44,0,0,0,0,0
968,7.32,4.53,0,0,0,0,0
972,7.44,4.63,0,0,0,0,0
977,7.62,4.72,0,0,0,0,0
981,6.65,4.86,0,0,0,0,0
985,5.67,4.93,0,0,0,0,0
989,5.37,4.93,0,0,0,0,0
993,5.12,4.92,0,0,0,0,0
997,5.67,4.89,0,0,0,0,0
1001,5.79,4.88,0,0,0,0,0
1005,9.76,4.87,0,0,0,0,0
1009,-3.35,5.00,0,0,0,0,0
1013,22.80,4.67,0,0,0,0,0
1017,15.30,5.22,0,0,0,0,0
1021,6.40,5.50,0,0,0,0,0
1026,5.00,5.47,0,0,0,0,0
1030,-10.06,5.35,0,0,0,0,0
1038,-34.02,4.52,0,0,0,0,0
1042,-16.89,1.06,0,0,0,0,0
