currTime,acc1,acc2,Roll,Pitch,Yaw
126,299,326,-1.97,0.29,-0.18
127,299,326,-1.97,0.29,-0.18
127,299,326,-1.97,0.29,-0.18
128,299,326,-1.97,0.29,-0.18
129,299,326,-1.97,0.29,-0.18
134,299,326,-1.97,0.29,-0.18
134,299,326,-1.97,0.29,-0.18
135,299,326,-1.97,0.29,-0.18
135,299,326,-1.97,0.29,-0.18
136,299,326,-1.97,0.29,-0.18
136,299,326,-1.97,0.29,-0.18
137,299,326,-1.97,0.29,-0.18
137,299,326,-1.97,0.29,-0.18
138,299,326,-1.97,0.29,-0.18
139,299,326,-1.97,0.29,-0.18
139,299,326,-1.97,0.29,-0.18
140,299,326,-1.97,0.29,-0.18
145,299,326,-3.96,0.78,-0.08
146,299,326,-3.96,0.78,-0.08
147,299,326,-3.96,0.78,-0.08
148,299,326,-3.96,0.78,-0.08
148,299,326,-3.96,0.78,-0.08
149,299,326,-3.96,0.78,-0.08
149,299,326,-3.96,0.78,-0.08
150,299,326,-3.96,0.78,-0.08
150,299,326,-3.96,0.78,-0.08
151,299,326,-3.96,0.78,-0.08
151,299,326,-3.96,0.78,-0.08
152,299,326,-3.96,0.78,-0.08
152,299,326,-3.96,0.78,-0.08
158,299,326,-3.96,0.78,-0.08
158,299,326,-3.96,0.78,-0.08
159,299,326,-3.96,0.78,-0.08
159,299,326,-3.96,0.78,-0.08
160,299,326,-3.96,0.78,-0.08
160,299,326,-3.96,0.78,-0.08
161,299,326,-3.96,0.78,-0.08
161,299,326,-3.96,0.78,-0.08
162,299,326,-3.96,0.78,-0.08
162,299,326,-3.96,0.78,-0.08
163,299,326,-3.96,0.78,-0.08
163,299,326,-3.96,0.78,-0.08
164,299,326,-3.96,0.78,-0.08
169,299,326,-3.96,0.78,-0.08
170,299,326,-3.96,0.78,-0.08
170,299,326,-3.96,0.78,-0.08
171,299,326,-3.96,0.78,-0.08
171,299,326,-3.96,0.78,-0.08
172,299,326,-3.96,0.78,-0.08
172,299,326,-3.96,0.78,-0.08
173,299,326,-3.96,0.78,-0.08
174,299,326,-3.96,0.78,-0.08
174,299,326,-3.96,0.78,-0.08
175,299,326,-3.96,0.78,-0.08
175,299,326,-3.96,0.78,-0.08
176,299,326,-3.96,0.78,-0.08
181,299,326,-3.96,0.78,-0.08
181,299,326,-3.96,0.78,-0.08
182,299,326,-3.96,0.78,-0.08
182,299,326,-3.96,0.78,-0.08
183,299,326,-3.96,0.78,-0.08
183,299,326,-3.96,0.78,-0.08
184,299,326,-3.96,0.78,-0.08
185,299,326,-3.96,0.78,-0.08
185,299,326,-3.96,0.78,-0.08
186,299,326,-3.96,0.78,-0.08
186,299,326,-3.96,0.78,-0.08
187,299,326,-3.96,0.78,-0.08
187,299,326,-3.96,0.78,-0.08
192,299,326,-3.96,0.78,-0.08
193,299,326,-3.96,0.78,-0.08
193,299,326,-3.96,0.78,-0.08
194,299,326,-3.96,0.78,-0.08
194,299,326,-3.96,0.78,-0.08
195,299,326,-3.96,0.78,-0.08
196,299,326,-3.96,0.78,-0.08
196,299,326,-3.96,0.78,-0.08
197,299,326,-3.96,0.78,-0.08
197,299,326,-3.96,0.78,-0.08
198,299,326,-3.96,0.78,-0.08
198,299,326,-3.96,0.78,-0.08
203,299,326,-3.96,0.78,-0.08
204,299,326,-3.96,0.78,-0.08
204,299,326,-3.96,0.78,-0.08
205,299,326,-3.96,0.78,-0.08
205,299,326,-3.96,0.78,-0.08
206,299,326,-3.96,0.78,-0.08
206,299,326,-3.96,0.78,-0.08
207,299,326,-3.96,0.78,-0.08
208,299,326,-3.96,0.78,-0.08
208,299,326,-3.96,0.78,-0.08
209,299,326,-3.96,0.78,-0.08
209,299,326,-3.96,0.78,-0.08
210,299,326,-3.96,0.78,-0.08
215,299,326,-3.96,0.78,-0.08
215,299,326,-3.96,0.78,-0.08
216,299,326,-3.96,0.78,-0.08
216,299,326,-3.96,0.78,-0.08
217,299,326,-3.96,0.78,-0.08
218,299,326,-3.96,0.78,-0.08
218,299,326,-3.96,0.78,-0.08
219,299,326,-3.96,0.78,-0.08
219,299,326,-3.96,0.78,-0.08
220,299,326,-3.96,0.78,-0.08
220,299,326,-3.96,0.78,-0.08
221,299,326,-3.96,0.78,-0.08
221,299,326,-3.96,0.78,-0.08
226,299,326,-3.96,0.78,-0.08
227,299,326,-3.96,0.78,-0.08
228,299,326,-3.96,0.78,-0.08
228,299,326,-3.96,0.78,-0.08
229,299,326,-3.96,0.78,-0.08
229,299,326,-3.96,0.78,-0.08
230,299,326,-3.96,0.78,-0.08
230,299,326,-3.96,0.78,-0.08
231,299,326,-3.96,0.78,-0.08
231,299,326,-3.96,0.78,-0.08
232,299,326,-3.96,0.78,-0.08
232,299,326,-3.96,0.78,-0.08
233,299,326,-3.96,0.78,-0.08
238,299,326,-3.96,0.78,-0.08
239,299,326,-3.96,0.78,-0.08
239,299,326,-3.96,0.78,-0.08
240,299,326,-3.96,0.78,-0.08
240,299,326,-3.96,0.78,-0.08
241,299,326,-3.96,0.78,-0.08
241,299,326,-3.96,0.78,-0.08
242,299,326,-3.96,0.78,-0.08
242,299,326,-3.96,0.78,-0.08
243,299,326,-3.96,0.78,-0.08
244,299,326,-3.96,0.78,-0.08
244,299,326,-3.96,0.78,-0.08
245,299,326,-3.96,0.78,-0.08
250,299,326,-3.96,0.78,-0.08
250,299,326,-3.96,0.78,-0.08
251,299,326,-3.96,0.78,-0.08
251,299,326,-3.96,0.78,-0.08
252,299,326,-3.96,0.78,-0.08
252,299,326,-3.96,0.78,-0.08
253,299,326,-3.96,0.78,-0.08
253,299,326,-3.96,0.78,-0.08
254,299,326,-3.96,0.78,-0.08
255,299,326,-3.96,0.78,-0.08
255,299,326,-3.96,0.78,-0.08
256,299,326,-3.96,0.78,-0.08
261,299,326,-3.96,0.78,-0.08
261,299,326,-3.96,0.78,-0.08
262,299,326,-3.96,0.78,-0.08
262,299,326,-3.96,0.78,-0.08
263,299,326,-3.96,0.78,-0.08
263,299,326,-3.96,0.78,-0.08
264,299,326,-3.96,0.78,-0.08
265,299,326,-3.96,0.78,-0.08
265,299,326,-3.96,0.78,-0.08
266,299,326,-3.96,0.78,-0.08
266,299,326,-3.96,0.78,-0.08
267,299,326,-3.96,0.78,-0.08
267,299,326,-3.96,0.78,-0.08
272,299,326,-3.96,0.78,-0.08
273,299,326,-3.96,0.78,-0.08
273,299,326,-3.96,0.78,-0.08
274,299,326,-3.96,0.78,-0.08
