currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
796,0.00,0.00,0,0,0,0,0
803,-293.35,0.00,0,0,0,0,0
808,-294.51,-19.43,0,0,0,0,0
812,-292.44,-38.13,0,0,0,0,0
817,-293.41,-48.63,0,0,0,0,0
821,-290.30,-63.54,0,0,0,0,0
825,-284.70,-72.59,0,0,0,0,0
830,-282.01,-81.04,0,0,0,0,0
834,-274.39,-93.03,0,0,0,0,0
839,-274.39,-100.22,0,0,0,0,0
843,-267.87,-110.56,0,0,0,0,0
848,-254.15,-116.77,0,0,0,0,0
852,-257.44,-124.83,0,0,0,0,0
857,-250.24,-130.03,0,0,0,0,0
862,-229.82,-137.03,0,0,0,0,0
866,-215.85,-142.28,0,0,0,0,0
875,-253.96,-144.95,0,0,0,0,0
879,-250.00,-159.88,0,0,0,0,0
884,-244.33,-163.29,0,0,0,0,0
888,-251.04,-167.78,0,0,0,0,0
893,-247.13,-170.91,0,0,0,0,0
898,-234.94,-175.10,0,0,0,0,0
902,-224.88,-178.10,0,0,0,0,0
907,-224.02,-180.12,0,0,0,0,0
911,-221.22,-181.91,0,0,0,0,0
916,-222.38,-182.86,0,0,0,0,0
920,-211.04,-184.29,0,0,0,0,0
925,-208.35,-184.48,0,0,0,0,0
929,-233.29,-184.42,0,0,0,0,0
934,-232.44,-186.10,0,0,0,0,0
939,-228.29,-188.35,0,0,0,0,0
943,-223.29,-189.94,0,0,0,0,0
952,-210.43,-190.54,0,0,0,0,0
956,-201.40,-188.78,0,0,0,0,0
961,-193.66,-187.64,0,0,0,0,0
965,-185.12,-184.87,0,0,0,0,0
970,-174.21,-182.31,0,0,0,0,0
975,-160.67,-176.78,0,0,0,0,0
979,-157.44,-169.14,0,0,0,0,0
984,-145.12,-164.20,0,0,0,0,0
988,-137.99,-154.55,0,0,0,0,0
993,-126.95,-148.00,0,0,0,0,0
997,-121.89,-136.37,0,0,0,0,0
1002,-110.79,-129.43,0,0,0,0,0
1007,-102.07,-117.32,0,0,0,0,0
1011,-91.83,-105.84,0,0,0,0,0
1016,-84.15,-94.50,0,0,0,0,0
1020,-76.59,-84.31,0,0,0,0,0
1024,-71.28,-75.05,0,0,0,0,0
1033,-57.68,-69.84,0,0,0,0,0
1037,-50.43,-45.30,0,0,0,0,0
1042,-45.91,-42.43,0,0,0,0,0
1046,-39.57,-37.71,0,0,0,0,0
1050,-30.61,-32.63,0,0,0,0,0
1055,-25.43,-28.55,0,0,0,0,0
1059,-18.48,-22.31,0,0,0,0,0
1063,-12.74,-18.17,0,0,0,0,0
1068,-5.61,-13.87,0,0,0,0,0
1072,0.79,-6.88,0,0,0,0,0
1076,7.38,-2.56,0,0,0,0,0
1080,14.33,1.99,0,0,0,0,0
1085,19.70,6.79,0,0,0,0,0
1089,25.61,13.75,0,0,0,0,0
1093,33.41,17.95,0,0,0,0,0
1097,40.18,22.55,0,0,0,0,0
1101,46.46,27.29,0,0,0,0,0
1106,53.54,32.06,0,0,0,0,0
1114,65.91,39.35,0,0,0,0,0
1118,72.50,54.66,0,0,0,0,0
1122,78.90,57.86,0,0,0,0,0
1127,85.43,61.31,0,0,0,0,0
1131,91.77,66.70,0,0,0,0,0
1135,96.22,70.10,0,0,0,0,0
1139,100.79,73.37,0,0,0,0,0
1144,105.55,76.56,0,0,0,0,0
1148,110.18,81.15,0,0,0,0,0
1152,114.02,83.84,0,0,0,0,0
1157,118.72,86.41,0,0,0,0,0
1161,112.50,90.16,0,0,0,0,0
1165,117.44,91.17,0,0,0,0,0
1170,123.84,92.45,0,0,0,0,0
1174,123.84,94.90,0,0,0,0,0
1178,134.63,96.00,0,0,0,0,0
1183,129.94,98.03,0,0,0,0,0
1187,139.15,99.64,0,0,0,0,0
1195,146.28,101.38,0,0,0,0,0
1200,157.56,107.63,0,0,0,0,0
1204,150.06,111.07,0,0,0,0,0
1209,161.71,112.10,0,0,0,0,0
1213,165.24,115.24,0,0,0,0,0
1217,176.16,117.28,0,0,0,0,0
1222,187.44,121.62,0,0,0,0,0
1226,187.74,126.77,0,0,0,0,0
1231,189.76,129.55,0,0,0,0,0
1235,184.63,133.50,0,0,0,0,0
1240,180.06,135.23,0,0,0,0,0
1244,204.94,136.93,0,0,0,0,0
1248,227.44,140.31,0,0,0,0,0
1253,230.91,145.33,0,0,0,0,0
1257,234.94,152.19,0,0,0,0,0
1262,240.30,156.19,0,0,0,0,0
1266,235.00,162.13,0,0,0,0,0
1275,228.84,165.07,0,0,0,0,0
1279,212.26,171.73,0,0,0,0,0
1283,198.48,172.40,0,0,0,0,0
1288,250.67,171.67,0,0,0,0,0
1292,266.71,177.63,0,0,0,0,0
1297,270.49,182.21,0,0,0,0,0
1301,274.63,188.66,0,0,0,0,0
1305,278.35,192.54,0,0,0,0,0
1310,281.65,196.31,0,0,0,0,0
1314,284.09,201.80,0,0,0,0,0
1319,285.55,205.16,0,0,0,0,0
1323,287.62,209.95,0,0,0,0,0
1327,291.59,212.93,0,0,0,0,0
1332,295.91,215.98,0,0,0,0,0
1336,298.72,220.69,0,0,0,0,0
1341,302.62,223.68,0,0,0,0,0
1345,304.94,228.27,0,0,0,0,0
1354,306.52,231.17,0,0,0,0,0
1358,307.68,240.99,0,0,0,0,0
1362,308.84,243.21,0,0,0,0,0
1367,311.40,245.39,0,0,0,0,0
1371,314.02,248.74,0,0,0,0,0
1376,316.71,250.97,0,0,0,0,0
1380,318.84,254.40,0,0,0,0,0
1385,320.43,256.62,0,0,0,0,0
1389,322.38,259.91,0,0,0,0,0
1393,322.38,263.09,0,0,0,0,0
1398,323.72,264.99,0,0,0,0,0
1402,324.63,267.80,0,0,0,0,0
1407,324.21,269.57,0,0,0,0,0
1411,323.29,271.96,0,0,0,0,0
1415,324.39,273.31,0,0,0,0,0
1420,323.17,274.68,0,0,0,0,0
1424,317.80,276.41,0,0,0,0,0
1433,316.77,276.92,0,0,0,0,0
1437,313.35,277.95,0,0,0,0,0
1441,310.73,277.97,0,0,0,0,0
1446,305.67,277.71,0,0,0,0,0
1450,300.30,276.43,0,0,0,0,0
1455,298.72,275.07,0,0,0,0,0
1459,294.39,272.97,0,0,0,0,0
1464,290.61,271.26,0,0,0,0,0
1468,284.51,268.15,0,0,0,0,0
1472,280.43,264.23,0,0,0,0,0
1477,282.07,261.57,0,0,0,0,0
1481,283.41,258.84,0,0,0,0,0
1486,277.99,257.93,0,0,0,0,0
1490,275.37,255.13,0,0,0,0,0
1494,269.33,253.36,0,0,0,0,0
1499,263.66,250.62,0,0,0,0,0
1503,257.20,245.40,0,0,0,0,0
1512,243.72,241.59,0,0,0,0,0
1516,237.32,221.56,0,0,0,0,0
1520,230.43,218.86,0,0,0,0,0
1525,221.40,214.83,0,0,0,0,0
1529,213.48,206.25,0,0,0,0,0
1534,204.76,200.69,0,0,0,0,0
1538,196.10,190.53,0,0,0,0,0
1542,188.11,184.22,0,0,0,0,0
1547,178.84,177.21,0,0,0,0,0
1551,170.49,165.23,0,0,0,0,0
1556,161.83,158.62,0,0,0,0,0
1560,155.12,147.36,0,0,0,0,0
1565,147.44,141.75,0,0,0,0,0
1569,139.76,132.00,0,0,0,0,0
1573,130.18,123.60,0,0,0,0,0
1578,122.38,117.51,0,0,0,0,0
1582,113.05,107.27,0,0,0,0,0
1591,97.93,100.88,0,0,0,0,0
1595,89.63,65.22,0,0,0,0,0
1599,80.91,67.28,0,0,0,0,0
1603,71.77,64.59,0,0,0,0,0
1608,62.32,59.12,0,0,0,0,0
1612,53.72,48.48,0,0,0,0,0
1616,45.79,42.37,0,0,0,0,0
1620,36.83,35.59,0,0,0,0,0
1625,28.17,28.01,0,0,0,0,0
1629,16.04,16.24,0,0,0,0,0
1633,9.09,8.44,0,0,0,0,0
1637,-0.85,1.16,0,0,0,0,0
1641,-11.16,-6.99,0,0,0,0,0
1646,-17.80,-15.77,0,0,0,0,0
1650,-16.89,-27.26,1,0,0,0,0
1654,-28.23,-30.00,0,0,0,0,0
1659,-44.57,-35.75,0,0,0,0,0
1663,-63.90,-49.68,0,0,0,0,0
1672,-78.48,-60.52,0,0,0,0,0
1676,-91.04,-100.15,0,0,0,0,0
1681,-97.93,-101.41,0,0,0,0,0
1685,-104.76,-105.60,0,0,0,0,0
1690,-112.56,-110.43,0,0,0,0,0
1694,-123.05,-116.05,0,0,0,0,0
1699,-131.40,-123.42,0,0,0,0,0
1703,-139.76,-130.60,0,0,0,0,0
1708,-147.44,-135.42,0,0,0,0,0
1712,-155.98,-143.55,0,0,0,0,0
1717,-163.29,-148.75,0,0,0,0,0
1721,-167.74,-157.09,0,0,0,0,0
1726,-172.32,-160.97,0,0,0,0,0
1731,-181.28,-166.61,0,0,0,0,0
1735,-187.99,-173.35,0,0,0,0,0
1740,-197.68,-177.48,0,0,0,0,0
1748,-204.88,-186.03,0,0,0,0,0
1753,-203.23,-199.60,0,0,0,0,0
1757,-214.70,-197.60,0,0,0,0,0
1762,-231.89,-200.53,0,0,0,0,0
1767,-237.01,-211.53,0,0,0,0,0
1771,-240.98,-218.45,0,0,0,0,0
1776,-245.30,-221.58,0,0,0,0,0
1780,-248.78,-226.15,0,0,0,0,0
