currTime,th_cap,gyroZ,indHS,indLP,indMS,indTO,indZC
0.61,-0.06,-0.59,0,0,0,0,0
0.61,-0.06,-0.59,0,0,0,0,0
0.62,-0.12,-0.59,0,0,0,0,0
0.62,-0.37,-0.60,0,0,0,0,0
0.62,-0.12,-0.61,0,0,0,0,0
0.63,-0.30,-0.61,0,0,0,0,0
0.63,-0.24,-0.62,0,0,0,0,0
0.64,-0.43,-0.63,0,0,0,0,0
0.64,-0.43,-0.64,0,0,0,0,0
0.65,-0.85,-0.66,0,0,0,0,0
0.65,-1.04,-0.69,0,0,0,0,0
0.65,-1.10,-0.72,0,0,0,0,0
0.66,-0.91,-0.75,0,0,0,0,0
0.67,-1.40,-0.77,0,0,0,0,0
0.67,-1.10,-0.88,0,0,0,0,0
0.68,-1.52,-0.90,0,0,0,0,0
0.68,-2.20,-0.93,0,0,0,0,0
0.69,-2.38,-0.99,0,0,0,0,0
0.69,-2.50,-1.07,0,0,0,0,0
0.69,-2.62,-1.12,0,0,0,0,0
0.70,-2.38,-1.17,0,0,0,0,0
0.70,-2.07,-1.22,0,0,0,0,0
0.71,-2.20,-1.28,0,0,0,0,0
0.71,-2.32,-1.32,0,0,0,0,0
0.71,-2.38,-1.36,0,0,0,0,0
0.72,-2.20,-1.40,0,0,0,0,0
0.72,-2.07,-1.46,0,0,0,0,0
0.73,-2.13,-1.49,0,0,0,0,0
0.73,-2.32,-1.52,0,0,0,0,0
0.74,-2.26,-1.57,0,0,0,0,0
0.74,-2.20,-1.62,0,0,0,0,0
0.75,-1.77,-1.65,0,0,0,0,0
0.75,-2.07,-1.70,0,0,0,0,0
0.76,-2.26,-1.73,0,0,0,0,0
0.76,-2.50,-1.77,0,0,0,0,0
0.76,-2.62,-1.80,0,0,0,0,0
0.77,-2.74,-1.84,0,0,0,0,0
0.77,-2.56,-1.89,0,0,0,0,0
0.78,-2.07,-1.92,0,0,0,0,0
0.78,-2.13,-1.93,0,0,0,0,0
0.79,-1.89,-1.95,0,0,0,0,0
0.79,-1.77,-1.95,0,0,0,0,0
0.80,-1.59,-1.95,0,0,0,0,0
0.80,-1.71,-1.94,0,0,0,0,0
0.80,-1.89,-1.94,0,0,0,0,0
0.81,-1.89,-1.94,0,0,0,0,0
0.81,-2.01,-1.94,0,0,0,0,0
0.82,-1.65,-1.94,0,0,0,0,0
0.82,-1.65,-1.92,0,0,0,0,0
0.83,-1.16,-1.91,0,0,0,0,0
0.83,-0.85,-1.83,0,0,0,0,0
0.84,-0.06,-1.79,0,0,0,0,0
0.84,0.18,-1.70,0,0,0,0,0
0.85,0.61,-1.64,0,0,0,0,0
0.85,0.73,-1.57,0,0,0,0,0
0.85,0.73,-1.50,0,0,0,0,0
0.86,1.04,-1.43,0,0,0,0,0
0.86,1.16,-1.32,0,0,0,0,0
0.87,1.16,-1.25,0,0,0,0,0
0.87,1.46,-1.19,0,0,0,0,0
0.88,1.34,-1.12,0,0,0,0,0
0.88,1.59,-1.04,0,0,0,0,0
0.88,1.46,-0.95,0,0,0,0,0
0.89,1.22,-0.91,0,0,0,0,0
0.89,1.28,-0.87,0,0,0,0,0
0.90,1.10,-0.83,0,0,0,0,0
0.90,1.34,-0.79,0,0,0,0,0
0.90,1.28,-0.75,0,0,0,0,0
0.91,1.28,-0.73,0,0,0,0,0
0.92,1.10,-0.68,0,0,0,0,0
0.92,0.73,-0.67,0,0,0,0,0
0.93,0.55,-0.66,0,0,0,0,0
0.93,0.79,-0.67,0,0,0,0,0
0.93,0.37,-0.67,0,0,0,0,0
0.94,0.12,-0.67,0,0,0,0,0
0.94,0.00,-0.68,0,0,0,0,0
0.95,0.06,-0.70,0,0,0,0,0
0.95,-0.37,-0.71,0,0,0,0,0
0.95,-0.49,-0.73,0,0,0,0,0
0.96,-0.37,-0.74,0,0,0,0,0
0.96,-0.18,-0.77,0,0,0,0,0
0.97,0.30,-0.79,0,0,0,0,0
0.97,0.24,-0.79,0,0,0,0,0
0.98,0.30,-0.80,0,0,0,0,0
0.98,0.00,-0.80,0,0,0,0,0
0.99,-0.12,-0.81,0,0,0,0,0
0.99,-0.55,-0.82,0,0,0,0,0
1.00,-1.16,-0.83,0,0,0,0,0
1.00,-1.10,-0.90,0,0,0,0,0
1.01,-1.04,-0.94,0,0,0,0,0
1.01,-0.67,-0.96,0,0,0,0,0
1.01,-0.85,-0.97,0,0,0,0,0
1.02,-1.04,-0.98,0,0,0,0,0
1.02,-0.91,-1.00,0,0,0,0,0
1.03,-0.85,-1.02,0,0,0,0,0
1.03,-1.10,-1.03,0,0,0,0,0
1.04,-1.34,-1.05,0,0,0,0,0
1.04,-1.77,-1.08,0,0,0,0,0
1.04,-2.07,-1.11,0,0,0,0,0
1.05,-2.20,-1.15,0,0,0,0,0
1.05,-2.13,-1.21,0,0,0,0,0
1.06,-2.01,-1.27,0,0,0,0,0
1.06,-1.89,-1.30,0,0,0,0,0
1.07,-1.95,-1.33,0,0,0,0,0
1.07,-1.83,-1.37,0,0,0,0,0
1.08,-1.22,-1.39,0,0,0,0,0
1.08,-1.59,-1.39,0,0,0,0,0
1.09,-1.10,-1.40,0,0,0,0,0
1.09,-1.34,-1.39,0,0,0,0,0
1.10,-0.98,-1.39,0,0,0,0,0
1.10,-1.46,-1.38,0,0,0,0,0
1.10,-1.28,-1.38,0,0,0,0,0
1.11,-1.46,-1.38,0,0,0,0,0
1.11,-1.34,-1.38,0,0,0,0,0
1.12,-1.22,-1.38,0,0,0,0,0
1.12,-0.79,-1.37,0,0,0,0,0
1.12,-0.37,-1.35,0,0,0,0,0
1.13,0.30,-1.32,0,0,0,0,0
1.13,0.12,-1.27,0,0,0,0,0
1.14,0.67,-1.21,0,0,0,0,0
1.14,0.49,-1.15,0,0,0,0,0
1.15,0.49,-1.11,0,0,0,0,0
1.15,0.91,-1.06,0,0,0,0,0
1.15,1.22,-1.01,0,0,0,0,0
1.16,1.95,-0.93,0,0,0,0,0
1.17,2.20,-0.72,0,0,0,0,0
1.17,1.89,-0.65,0,0,0,0,0
1.17,2.07,-0.59,0,0,0,0,0
1.18,1.77,-0.50,0,0,0,0,0
1.18,1.59,-0.42,0,0,0,0,0
1.19,1.71,-0.37,0,0,0,0,0
1.19,1.52,-0.33,0,0,0,0,0
1.20,1.28,-0.29,0,0,0,0,0
1.20,1.22,-0.24,0,0,0,0,0
1.21,1.65,-0.19,0,0,0,0,0
1.21,1.77,-0.15,0,0,0,0,0
1.21,1.95,-0.11,0,0,0,0,0
1.22,2.32,-0.07,0,0,0,0,0
1.22,2.13,0.01,0,0,0,0,0
1.23,1.89,0.06,0,0,0,0,0
1.23,1.65,0.10,0,0,0,0,0
1.23,1.52,0.13,0,0,0,0,0
1.24,1.46,0.15,0,0,0,0,0
1.25,1.77,0.17,0,0,0,0,0
1.25,2.01,0.26,0,0,0,0,0
1.25,1.77,0.31,0,0,0,0,0
1.26,1.89,0.34,0,0,0,0,0
1.26,1.83,0.36,0,0,0,0,0
1.27,1.52,0.38,0,0,0,0,0
1.27,1.10,0.38,0,0,0,0,0
1.27,1.22,0.37,0,0,0,0,0
1.28,0.55,0.37,0,0,0,0,0
1.28,0.85,0.34,0,0,0,0,0
1.29,0.61,0.32,0,0,0,0,0
1.29,0.55,0.28,0,0,0,0,0
1.30,0.85,0.24,0,0,0,0,0
1.30,0.61,0.22,0,0,0,0,0
1.30,0.61,0.19,0,0,0,0,0
1.31,1.04,0.16,0,0,0,0,0
