En Angle,IMU Angle,Diffrence
14.82,-10.42,25.24
14.82,-10.3875,25.2075
14.82,-9.77,24.59
15.52,-9.77,25.29
14.82,-9.77,24.59
14.82,-9.77,24.59
14.82,-9.698,24.518
14.11,-9.59,23.7
12.7,-9.5905,22.2905
12,-9.6,21.6
11.29,-9.6,20.89
10.58,-9.6,20.18
9.88,-9.6,19.48
9.17,-9.6,18.77
8.47,-9.6,18.07
7.76,-9.6,17.36
7.76,-9.7105,17.4705
3.52,-9.73,13.25
2.11,-9.73,11.84
2.82,-9.73,12.55
3.52,-9.7475,13.2675
3.52,-9.8,13.32
3.52,-9.8,13.32
3.52,-9.8195,13.3395
3.52,-9.83,13.35
3.52,-9.83,13.35
3.52,-9.83,13.35
3.52,-9.8435,13.3635
3.52,-9.92,13.44
2.82,-9.92,12.74
2.82,-10.046,12.866
2.82,-10.13,12.95
2.82,-10.13,12.95
2.82,-10.13,12.95
2.11,-10.179,12.289
2.11,-10.27,12.38
1.41,-10.27,11.68
0.7,-10.27,10.97
0.7,-10.27,10.97
0.7,-10.27,10.97
0.7,-10.27,10.97
0,-10.396,10.396
0,-10.45,10.45
0,-10.5235,10.5235
0.7,-10.94,11.64
0.7,-10.94,11.64
1.41,-10.94,12.35
1.41,-10.94,12.35
2.11,-10.639,12.749
2.11,-10.51,12.62
2.11,-10.487,12.597
2.11,-10.05,12.16
2.11,-10.05,12.16
2.82,-10.05,12.87
2.82,-10.05,12.87
2.82,-10.065,12.885
3.52,-10.08,13.6
3.52,-10.08,13.6
4.23,-8.79,13.02
4.23,-8.36,12.59
4.23,-8.36,12.59
4.23,-8.36,12.59
4.23,-8.248,12.478
4.23,-8.08,12.31
4.23,-8.08,12.31
4.23,-7.625,11.855
4.23,-7.38,11.61
4.23,-7.38,11.61
4.23,-7.38,11.61
4.23,-7.34,11.57
4.23,-7.18,11.41
4.23,-7.18,11.41
4.23,-7.4205,11.6505
4.94,-7.55,12.49
4.23,-7.55,11.78
4.23,-7.55,11.78
4.94,-7.473,12.413
4.23,-7.41,11.64
4.94,-7.41,12.35
4.94,-7.438,12.378
4.23,-7.45,11.68
4.94,-7.45,12.39
4.94,-7.459,12.399
4.94,-7.63,12.57
4.94,-7.63,12.57
4.94,-7.85,12.79
4.94,-8.51,13.45
4.94,-8.51,13.45
4.94,-8.51,13.45
4.94,-8.51,13.45
4.94,-8.77,13.71
4.94,-8.77,13.71
4.94,-8.782,13.722
4.94,-8.89,13.83
4.94,-8.89,13.83
4.94,-8.89,13.83
4.94,-8.89,13.83
4.23,-8.917,13.147
4.23,-8.92,13.15
4.94,-8.92,13.86
4.94,-8.15,13.09
5.64,-8.15,13.79
7.05,-8.15,15.2
7.76,-8.15,15.91
8.47,-9.6425,18.1125
9.88,-10.14,20.02
10.58,-10.14,20.72
12,-11.3555,23.3555
12,-11.57,23.57
12.7,-11.57,24.27
12.7,-11.572,24.272
13.41,-11.59,25
13.41,-11.59,25
14.11,-11.6405,25.7505
14.82,-12.6,27.42
16.23,-12.6,28.83
16.94,-12.6,29.54
16.94,-12.616,29.556
16.94,-12.76,29.7
16.94,-12.76,29.7
16.94,-12.656,29.596
16.94,-12.24,29.18
16.94,-12.24,29.18
16.94,-12.24,29.18
16.94,-12.3895,29.3295
16.94,-12.47,29.41
16.94,-12.47,29.41
16.94,-11.7645,28.7045
16.94,-11.64,28.58
16.94,-11.64,28.58
16.94,-11.64,28.58
17.64,-12.384,30.024
17.64,-12.57,30.21
17.64,-12.57,30.21
17.64,-13.69,31.33
17.64,-14.17,31.81
17.64,-14.17,31.81
16.94,-14.17,31.11
16.94,-14.422,31.362
16.23,-14.45,30.68
16.23,-14.45,30.68
16.23,-14.538,30.768
16.23,-14.56,30.79
16.23,-14.56,30.79
16.23,-14.56,30.79
16.23,-14.389,30.619
16.23,-14.37,30.6
15.52,-14.405,29.925
16.23,-14.72,30.95
15.52,-14.72,30.24
15.52,-14.72,30.24
